drug pair    OSCAR    Twosides
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00186-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00321-http://bio2rdf.org/drugbank:DB00454    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00458-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00321    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00540    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB01020    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00829    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00727    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00186    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00697-http://bio2rdf.org/drugbank:DB01020    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00690    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00540-http://bio2rdf.org/drugbank:DB01020    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00842    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
